x,y,v,theta
5.6139744,-23.1202006,2.1395424,0.5301484673024345
5.786406,-23.0191356,2.1457589,0.6121529169843472
5.94926,-22.9047912,2.1562047,0.6832909061745792
6.103798,-22.7789789,2.1750209,0.7649053463169159
6.2469987,-22.6415303,2.2148248,0.8569935348739182
6.3776369,-22.4907062,2.2892931,0.9511340621435245
6.4940541,-22.3275196,2.3861867,1.0422662648795198
6.5956386,-22.1535569,2.4942374,1.1262684194404484
6.6811946,-21.9739396,2.613531,1.2008954010875752
6.7531719,-21.7883111,2.73719,1.2676448841260628
6.813137,-21.5966023,2.8612737,1.3272274561845667
6.8615637,-21.4017283,2.9837761,1.3794621616898914
6.8993883,-21.2064579,3.1043317,1.4248050626330262
6.9286258,-21.0076139,3.224285,1.4639436043696439
6.9499256,-20.8090352,3.3435122,1.4972994398870827
6.9646065,-20.6096464,3.461993,1.5257315018859516
6.9736562,-20.4089672,3.5799862,1.5496725178606132
6.9778658,-20.2097146,3.6962024,1.5696911743636868
6.9780877,-20.0089279,3.8118338,1.5862672246844425
6.9750004,-19.8093885,3.925055,1.599768891182949
6.9691958,-19.6090964,4.0371213,1.6105642336854644
6.9612454,-19.4092818,4.1469445,1.6189272662303442
6.9516134,-19.2093156,4.2547735,1.625128031345058
6.9407492,-19.0095518,4.3608012,1.6293752788204243
6.9290265,-18.8096628,4.4640443,1.6318885753221513
6.9168242,-18.6101757,4.5661016,1.632822143211747
6.9043978,-18.4100903,4.6646898,1.6324453614479377
6.8921012,-18.2108817,4.7624947,1.6308496899210558
6.8800569,-18.0105629,4.8564411,1.6281038843337627
6.8686133,-17.8110941,4.9490661,1.6241494204898983
6.8579349,-17.6111382,5.0385588,1.6188703175295944
6.8483092,-17.4110657,5.1256,1.6122645781259453
6.8400496,-17.212001,5.2106955,1.6042673763961242
6.8333204,-17.0110307,5.2918158,1.5949059922182114
6.8285155,-16.8117758,5.3711731,1.5841852117210997
6.825834,-16.6115097,5.4467181,1.5721006292082427
6.8255725,-16.4110195,5.5186692,1.5587888489502386
6.8279619,-16.2120364,5.5878679,1.5442915713763474
6.8332733,-16.0116891,5.6519774,1.528696502818049
6.8417058,-15.8115097,5.7115743,1.5122521947602974
6.8533756,-15.6124041,5.767159,1.495155778094074
6.8684356,-15.4136844,5.818125,1.4775133769856403
6.8871091,-15.2140841,5.8626044,1.4595023505973959
6.9093044,-15.0154787,5.9027259,1.4413187880592895
6.9350816,-14.8175062,5.938712,1.4230249049403958
6.9645066,-14.6198326,5.9709874,1.4046819598729503
6.9975653,-14.4226548,5.9998249,1.3863783567069947
7.0341603,-14.2264744,6.0270276,1.3681972479837419
7.0743493,-14.0308288,6.0541742,1.3502322724486604
7.1181666,-13.8354006,6.0822519,1.3326738897507775
7.1653778,-13.6408978,6.1128882,1.3158134794680785
7.2156418,-13.4480616,6.1489837,1.2999157137736121
7.2691831,-13.2552634,6.1900791,1.2852662228302585
7.325793,-13.0624184,6.2362834,1.2723155397487838
